[2025-03-22 11:49:51,111][accelerate.accelerator][INFO] - The used dataset had no length, returning gathered tensors. You should drop the remainder yourself.
[2025-03-22 11:49:51,754][accelerate.accelerator][INFO] - Saving current state to /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt
[2025-03-22 11:49:52,076][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model.safetensors
[2025-03-22 11:49:52,171][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model_1.safetensors
[2025-03-22 11:49:52,172][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model_2.safetensors
[2025-03-22 11:49:52,172][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model_3.safetensors
[2025-03-22 11:49:52,172][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model_4.safetensors
[2025-03-22 11:49:52,172][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model_5.safetensors
[2025-03-22 11:49:52,172][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/model_6.safetensors
[2025-03-22 11:49:52,687][accelerate.checkpointing][INFO] - Optimizer state saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/optimizer.bin
[2025-03-22 11:49:52,687][accelerate.checkpointing][INFO] - Optimizer state saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/optimizer_1.bin
[2025-03-22 11:49:52,688][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/sampler.bin
[2025-03-22 11:49:52,688][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/sampler_1.bin
[2025-03-22 11:49:52,691][accelerate.checkpointing][INFO] - Random states saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/best.pt/random_states_0.pkl
[2025-03-22 11:49:52,691][accelerate.accelerator][INFO] - Saving current state to /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt
[2025-03-22 11:49:52,976][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model.safetensors
[2025-03-22 11:49:53,069][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model_1.safetensors
[2025-03-22 11:49:53,070][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model_2.safetensors
[2025-03-22 11:49:53,070][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model_3.safetensors
[2025-03-22 11:49:53,070][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model_4.safetensors
[2025-03-22 11:49:53,070][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model_5.safetensors
[2025-03-22 11:49:53,070][accelerate.checkpointing][INFO] - Model weights saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/model_6.safetensors
[2025-03-22 11:49:53,578][accelerate.checkpointing][INFO] - Optimizer state saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/optimizer.bin
[2025-03-22 11:49:53,579][accelerate.checkpointing][INFO] - Optimizer state saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/optimizer_1.bin
[2025-03-22 11:49:53,579][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/sampler.bin
[2025-03-22 11:49:53,579][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in /data/akkumar/MedVAE/medvae/logs/mmg_finetuning/runs/2025-03-22_11-49-46/checkpoints/epoch-0000.pt/sampler_1.bin
